Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Remodelação e ampliação da Escola EB 2/3 de Aver-o-Mar II;Concurso público;Empreitadas de obras públicas;"45214200-2, Construção de edifícios escolares";Município da Póvoa de Varzim (506741400);"Construções Corte Recto, Lda. (507391160)";"2.898.837,61 €";11-06-2019;29-05-2019;420 dias;"Portugal<BR/>Portugal, Porto, Póvoa de Varzim";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Acessórios e Consumíveis no âmbito dos Gases Medicinais e Vácuo;Concurso público;Aquisição de bens móveis;"38420000-5, Instrumentos para medição do caudal, do nível e da pressão de líquidos e gases";"Centro Hospitalar de Leiria, E. P. E. (509822932)";"I.F.H.I-Instalações de Fluidos Hospitalares,Lda (502264543)";"8.515,00 €";11-06-2019;04-06-2019;360 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Execução de obras diversas de manutenção e reparação das Instalações Mecânicas - Rede de Águas e Esgotos do Instituto Português de Oncologia de Lisboa Francisco Gentil, E.P.E.";Concurso público;Empreitadas de obras públicas;"45454100-5, Obras de restauro";"Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E. (506361616)";"Vaporel - Soc. Ind. Metalomecânica, Lda (500295433)";"126.931,30 €";11-06-2019;13-05-2019;635 dias;"Portugal, Lisboa, Lisboa<BR/>Portugal";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Contrato de Fornecimento de Materiais Elétricos Diversos;Concurso público;Aquisição de bens móveis;"31000000-6, Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação";"Águas do Tejo Atlântico, S. A. (514387130)";"Armasul Distribuidor de Materiais Eléctricos, SA (501939644)";"89.361,84 €";09-06-2019;24-04-2019;1095 dias;"Portugal, Distrito não determinado, Concelho não determinado";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público para aquisição de serviço móvel terrestre para Entidades do Ministério da Saúde para o ano 2019;Concurso público;Aquisição de serviços;"64200000-8, Serviços de telecomunicações";Instituto de Oftalmologia Doutor Gama Pinto (IOGP) (600000052);Meo - Serviços de Comunicações e Multimédia SA (504615947);"2.352,00 €";08-06-2019;29-01-2019;336 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
"Prestação de serviços de transporte e encaminhamento de lamas de ETAR, para valorização agrícola";Concurso público;Aquisição de serviços;"90513700-3, Serviços de transporte de lamas";Serviços Municipalizados de Água e Saneamento de Sintra (680000054);"Terra Fértil - Gestão e Valorização de Resíduos, S.A. (503447145)";"266.475,00 €";08-06-2019;31-05-2019;1095 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Substituição do Gasómetro da ETAR de Beirolas ;Concurso público;Empreitadas de obras públicas;"45333100-1, Instalação de equipamento de regulação de gás";"Águas do Tejo Atlântico, SA (514387130)";"Sotecnisol, S.A. (500274819)";"79.312,20 €";07-06-2019;12-12-2018;150 dias;Portugal;"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Empreitada de Construção da Estação Elevatória do Bairro Atral-Cipan;Concurso público;Empreitadas de obras públicas;"45232431-2, Estação de bombagem de águas residuais";"Águas do Tejo Atlântico, S. A. (514387130)";"NORTEJUVIL, SOCIEDADE DE CONSTRUÇÕES LDA. (506378527)";"179.816,61 €";07-06-2019;22-11-2018;150 dias;"Portugal, Lisboa, Vila Franca de Xira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Empreitada de Reabilitação do Filtro de Areia n.º 2 - ETAR Chelas;Concurso público;Empreitadas de obras públicas;"45232460-4, Obras de saneamento";"Águas do Tejo Atlântico, S. A. (514387130)";"STAP - Reparação, Consolidação e Modificação de Estruturas, S.A. (500987076)";"166.080,25 €";07-06-2019;13-11-2018;150 dias;"Portugal, Lisboa, Lisboa";Artigo 155.º do Código dos Contratos Públicos;;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços para o desenvolvimento do Modelo Tridimensional da Ocupação Urbana Superficial para o Concelho de Lisboa;Concurso público;Aquisição de serviços;"71354100-5, Serviços de cartografia digital";Município de Lisboa (500051070);"LRB - Investimentos e Consultoria, Lda (510434290)";"39.800,01 €";07-06-2019;31-05-2019;183 dias;"Portugal, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
